neigh_num,name,area_sqkm,lat,long,loc
3210,Grovenor,0.920762562848808,53.545399,-113.571912,"(53.54539881319475, -113.5719116484459)"
6441,Maple,1.831670312465748,53.475394,-113.354102,"(53.47539364845947, -113.35410220279269)"
4660,Youngstown Industrial,0.483841104915183,53.552476,-113.610588,"(53.55247572711107, -113.61058845718293)"
1170,Prince Rupert,1.144949477819853,53.564595,-113.524118,"(53.56459450201589, -113.52411765669545)"
5579,Glenridding Ravine,2.693560229274794,53.410256,-113.608497,"(53.4102559432277, -113.60849679708343)"
6410,Maple Ridge,0.689268185250386,53.502050,-113.363063,"(53.50205016060801, -113.36306272344642)"
6610,Ritchie,1.270101654244027,53.513275,-113.482742,"(53.51327510136197, -113.48274211553915)"
6190,Edmonton Research and Development Park,1.216429720933246,53.446220,-113.473032,"(53.446220312731455, -113.47303198836592)"
2330,Highlands,1.147097060110376,53.565999,-113.430171,"(53.5659985899366, -113.43017053031933)"
6590,Pylypow Industrial,3.485795199013363,53.497288,-113.405989,"(53.49728765541509, -113.4059887770608)"
6770,Weinlos,0.91681382374593,53.459907,-113.413836,"(53.459906787332415, -113.41383602707519)"
2500,Matt Berry,1.13777175635171,53.622254,-113.436022,"(53.622253935268944, -113.4360215291225)"
4060,Britannia Youngstown,1.638283481020854,53.546295,-113.601510,"(53.546294619699125, -113.60151037145036)"
4580,West Jasper Place,0.890709249076156,53.536630,-113.584144,"(53.53662987133278, -113.58414434604617)"
2280,Fraser,1.308507412780103,53.610382,-113.374782,"(53.610382173879735, -113.37478157988564)"
6213,Summerside,3.911019628819906,53.417528,-113.461227,"(53.417527612947964, -113.461227376245)"
2690,Rural North East South Sturgeon,15.450754906257078,53.618981,-113.323512,"(53.61898141942335, -113.3235120204022)"
2320,Hairsine,0.65946712087916,53.603838,-113.390923,"(53.60383771828289, -113.39092316159207)"
4390,Patricia Heights,0.610729247298745,53.507564,-113.592293,"(53.50756405698036, -113.59229333355458)"
